NQUEST,TIPOI,QUEST,NQUESTP,STUPCF,STUMCF,STUPCO,STUMCO,CITPCF,CITMCF,CITPCO,CITMCO,VITGEN,NGEN,FIGLI,NFIGLI,PARNOIT,ANCONV,CONTINT,NCOMP
814098,2,3,,5,5,,,1,1,,,1,2,2,,2,,3,1
814103,1,3,,,,,,,,,,2,,1,2,,1979,9,2
814466,2,3,,3,3,,,1,1,,,2,,1,2,,,2,1
814532,2,3,,5,4,5,4,1,1,1,1,2,,1,1,,1968,2,2
814546,1,3,,2,2,,,1,1,,,2,,2,,2,,2,1
814586,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1975,3,2
814889,1,3,,,,,,,,,,2,,2,,,2007,2,4
815135,2,3,,3,2,,,1,1,,,2,,2,,2,,1,2
815291,2,3,,2,2,2,2,1,1,1,1,2,,1,2,,1982,3,2
815415,1,3,,,,,,,,,,2,,2,,2,,1,1
815465,1,3,,1,1,1,1,1,1,1,1,2,,1,1,,1970,2,2
815960,1,3,,2,2,2,2,1,1,1,1,1,2,2,,,1989,2,4
816001,2,3,,,,,,,,,,2,,1,1,,1965,2,3
816196,2,3,,,,,,,,,,2,,2,,2,,3,1
816249,2,3,,,,,,,,,,2,,1,2,,,2,6
816383,2,3,,,,,,,,,,2,,1,2,,,2,4
816433,2,3,,,,,,,,,,2,,1,1,2,,2,3
816827,2,3,,,,,,,,,,1,2,2,,,1994,5,3
816839,2,3,,,,,,,,,,1,2,1,3,,1973,2,3
816847,2,3,,,,,,,,,,1,2,1,1,,1981,2,3
816897,2,3,,2,2,2,2,1,1,1,1,1,2,1,2,,1986,2,3
816919,2,3,,2,1,2,2,1,1,1,1,2,,2,,,1989,3,3
817160,2,3,,,,,,,,,,1,1,2,,,1979,6,3
817180,2,3,,,,,,,,,,1,1,1,1,,1983,2,3
817276,1,3,,2,2,,,1,1,,,2,,2,,2,,1,1
817402,1,3,,,,,,,,,,2,,1,2,,,7,1
817487,1,3,,2,3,,,1,1,,,2,,1,2,,,1,2
817675,1,3,,,,,,,,,,1,2,1,1,1,,1,1
817742,1,3,,2,2,2,2,1,1,1,1,2,,1,2,,1981,6,2
817747,2,3,,4,2,,,1,1,,,2,,1,3,,,1,1
817749,2,3,,1,1,,,1,1,,,2,,1,4,,,2,1
817967,2,3,,1,1,1,1,1,1,1,1,1,4,2,,,2002,1,4
818064,2,3,,1,1,1,1,1,1,1,1,2,,1,2,,1981,2,2
818290,2,3,,,,,,,,,,2,,1,2,,1983,1,2
818425,1,3,,,,,,,,,,2,,1,1,,,2,2
818640,2,3,,,,,,,,,,2,,1,1,,1977,2,2
819010,2,3,,,,,,,,,,2,,2,,2,,1,2
819031,2,3,,3,3,,,1,1,,,2,,2,,,,4,1
819156,2,3,,1,3,,,1,1,,,2,,1,2,2,,5,3
819330,1,3,,,,,,,,,,2,,1,2,,1978,2,2
819350,1,3,,,,,,,,,,2,,1,1,,1976,1,3
819433,1,3,,1,1,,,1,1,,,2,,1,1,,,2,2
819575,2,3,,,,,,,,,,1,3,2,,,2007,3,5
819653,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1974,2,2
819972,2,3,,2,1,2,2,1,1,1,1,2,,1,2,,1978,2,2
820115,2,3,,,,,,,,,,2,,2,,,,3,2
820171,2,3,,,,,,,,,,1,2,1,4,,1990,2,2
820465,1,3,,,,,,,,,,2,,1,1,,,1,2
820606,2,3,,,,,,,,,,1,2,1,2,,1978,4,2
820675,1,3,,,,,,,,,,1,1,2,,,1986,3,4
820697,1,3,,,,,,,,,,1,1,2,,,2003,4,4
820718,1,3,,,,,,,,,,2,,2,,,,1,1
821008,2,3,,,,,,,,,,1,2,2,,,1998,2,3
821727,2,3,,,,,,,,,,2,,1,1,,1984,3,4
821789,2,3,,,,,,,,,,2,,1,1,,1970,2,2
821844,2,3,,,,,,,,,,2,,2,,2,,4,1
822033,2,3,,2,2,2,2,1,1,1,1,2,,1,1,,1960,2,2
822266,1,3,,2,1,,,1,1,,,2,,1,1,,,1,2
822398,1,3,,2,2,2,2,1,1,1,1,1,1,1,2,,1972,1,2
822408,1,3,,2,1,1,1,1,1,1,1,2,,1,1,,1967,2,3
822530,2,3,,,,,,,,,,2,,1,1,2,,2,1
823046,2,3,,,,,,,,,,2,,1,2,,1978,2,2
823250,1,3,,,,,,,,,,1,1,2,,,1986,2,4
823258,1,3,,5,4,3,3,1,1,1,1,2,,2,,,1995,4,4
823338,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1963,1,3
823488,1,3,,2,2,2,2,1,1,1,1,2,,1,3,,1977,2,2
823506,1,3,,1,1,1,1,1,1,1,1,2,,1,3,,1992,2,4
823524,1,3,,,,,,,,,,2,,1,2,,1975,1,2
823993,1,3,,1,1,,,1,1,,,2,,1,1,,,3,1
824302,1,3,,,,,,,,,,2,,2,,2,,1,1
824637,2,3,,,,,,,,,,2,,2,,,1966,2,3
824730,2,3,,,,,,,,,,2,,1,1,,,2,1
824734,2,3,,,,,,,,,,2,,2,,,,2,3
824735,1,3,,,,,,,,,,2,,2,,2,,3,1
824808,2,3,,,,,,,,,,1,1,2,,2,,2,3
824824,2,3,,,,,,,,,,1,4,2,,,2006,2,4
824887,1,3,,1,1,,,1,1,,,2,,2,,2,,1,1
824891,1,3,,,,,,,,,,2,,1,4,,,1,2
825889,2,3,,3,3,3,3,1,1,1,1,2,,2,,,2004,2,3
825977,1,3,,2,2,2,2,1,1,1,1,2,,2,,,1992,1,2
826006,1,3,,,,,,,,,,2,,1,4,,1975,2,2
826115,2,3,,,,,,,,,,2,,2,,,1975,2,3
826132,2,3,,2,2,2,1,1,1,1,1,1,2,1,3,,1979,4,3
826234,1,3,,4,4,,,2,2,,,1,2,2,,,,4,3
826248,1,3,,,,,,,,,,2,,1,1,,1970,3,2
826307,1,3,,,,,,,,,,2,,1,1,,,1,1
826362,1,3,,2,2,,,1,1,,,2,,2,,,,2,4
826456,2,3,,,,,,,,,,1,1,2,,,2003,4,4
826744,2,3,,,,,,,,,,1,1,1,2,,1988,5,3
827146,2,3,,,,,,,,,,2,,1,1,,,2,1
827188,1,3,,,,,,,,,,1,1,2,,,1983,3,4
827386,2,3,,,,,,,,,,2,,1,2,,,5,1
827457,1,3,,3,3,3,4,1,1,1,1,1,4,2,,,2007,1,4
827578,1,3,,,,,,,,,,2,,2,,2,,2,1
827639,1,3,,2,2,,,1,1,,,2,,1,1,,,2,1
827847,2,3,,,,,,,,,,2,,1,2,,1973,2,2
850013,1,3,,2,2,,,1,1,,,1,2,1,2,2,,2,1
851025,2,3,,,,,,,,,,2,,2,,,1988,1,5
851151,1,3,,1,1,1,1,1,1,1,1,2,,2,,,1965,3,2
851172,2,3,,3,2,4,3,1,1,1,1,2,,2,,,1992,2,4
851493,2,3,,,,,,,,,,2,,1,2,,1970,2,2
851504,1,3,,2,2,2,2,1,1,1,1,2,,2,,,1965,5,2
851627,1,3,,2,2,,,1,1,,,2,,2,,2,,1,1
851672,1,3,,,,,,,,,,2,,1,2,,1976,2,2
851693,1,3,,,,,,,,,,2,,1,3,,,2,1
851703,1,3,,,,,,,,,,1,1,1,1,,1994,2,3
851874,1,3,,,,,,,,,,1,2,1,1,,1992,1,2
851937,1,3,,2,2,,,1,1,,,2,,1,1,2,,1,1
851968,2,3,,3,3,3,3,1,1,1,1,2,,2,,,1993,2,4
852021,1,3,,,,,,,,,,2,,1,1,,1975,1,2
852070,2,3,,2,2,2,3,1,1,1,1,1,2,2,,,1994,6,4
852130,2,3,,,,,,,,,,1,3,1,1,,1987,3,2
852140,1,3,,2,2,4,4,1,1,1,1,1,3,2,,,2008,4,4
852283,2,3,,,,,,,,,,2,,2,,,1996,7,5
852554,2,3,,3,4,,,1,1,,,2,,2,,,,2,1
852574,1,3,,7,7,1,1,1,1,1,1,2,,2,,,1980,2,3
853279,2,3,,,,,,,,,,2,,2,,2,,2,1
853318,2,3,,2,2,2,2,1,1,1,1,2,,2,,,1994,2,2
853352,2,3,,,,,,,,,,2,,1,1,,1977,3,2
853569,2,3,,,,,,,,,,1,1,2,,,1983,6,4
853875,2,3,,,,,,,,,,2,,1,2,,1973,2,2
854112,1,3,,4,5,,,1,1,,,1,2,2,,2,,3,1
854163,1,3,,,,,,,,,,2,,2,,,1971,1,2
854306,2,3,,,,,,,,,,2,,1,1,,1973,3,2
854346,2,3,,,,,,,,,,2,,1,3,,1984,2,3
854393,1,3,,,,,,,,,,2,,1,3,,,1,1
854406,1,3,,,,,,,,,,2,,1,3,,1966,1,2
854554,2,3,,2,2,,,1,1,,,2,,1,1,,,2,1
854559,2,3,,2,1,,,1,1,,,2,,1,1,,,2,2
854593,1,3,,2,2,2,2,1,1,1,1,2,,2,,,1990,2,4
854714,1,3,,,,,,,,,,2,,1,2,,1961,1,2
854730,2,3,,,,,,,,,,1,3,2,,,1995,2,3
854858,2,3,,,,,,,,,,2,,1,2,,1985,2,2
854970,1,3,,2,2,,,1,1,,,2,,2,,,,2,1
855035,1,3,,,,,,,,,,2,,2,,,1971,1,3
855111,2,3,,,,,,,,,,2,,2,,,1988,2,4
855135,2,3,,,,,,,,,,1,2,2,,,,3,3
855238,1,3,,2,2,2,2,1,1,1,1,2,,1,2,,1975,2,2
855259,1,3,,,,,,,,,,2,,2,,2,,2,2
855268,1,3,,,,,,,,,,1,2,2,,,2018,2,3
855295,1,3,,2,2,,,1,1,,,2,,2,,2,,1,1
855344,2,3,,,,,,,,,,1,1,1,1,,1990,2,2
855371,2,3,,1,1,1,1,1,1,1,1,2,,1,2,,1961,2,3
855376,2,3,,2,3,2,2,1,1,1,1,1,1,1,2,,1984,2,2
855417,1,3,,2,2,3,3,2,2,2,2,1,2,1,2,,2002,2,2
855534,2,3,,2,1,1,1,1,1,1,1,2,,1,3,,1965,2,2
855790,2,3,,,,,,,,,,2,,1,3,,1979,3,2
855792,2,3,,,,,,,,,,2,,1,2,,1974,4,2
855809,2,3,,,,,,,,,,2,,1,2,,,2,2
855839,2,3,,,,,,,,,,1,3,1,1,,1997,2,4
856128,1,3,,,,,,,,,,2,,1,2,,1978,1,2
856150,1,3,,2,2,2,2,1,1,1,1,2,,1,2,,1964,1,2
856177,1,3,,2,2,2,2,1,1,1,1,2,,2,,,2002,3,2
856297,2,3,,6,4,3,4,1,1,1,1,2,,2,,,1999,2,4
856327,1,3,,,,,,,,,,2,,2,,2,,2,1
856674,2,3,,4,2,4,3,1,1,1,1,2,,1,1,,1957,2,2
856759,2,3,,,,,,,,,,1,1,2,,2,,2,1
856963,1,3,,,,,,,,,,2,,2,,,,2,1
857044,1,3,,1,1,,,1,1,,,2,,1,2,,,2,1
857107,2,3,,,,,,,,,,1,1,1,1,,1984,1,3
857273,1,3,,,,,,,,,,1,1,2,,,1997,1,5
857398,2,3,,2,2,2,2,1,1,1,1,2,,1,2,,1971,8,2
857466,2,3,,,,,,,,,,1,2,1,1,,1982,3,2
857467,2,3,,,,,,,,,,2,,1,1,,1986,3,3
857621,2,3,,,,,,,,,,1,1,1,7,,2001,3,2
