NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA11,YTA12,YTA2,YTA3,YTA31,YTA32,YTA4,YTA5,YM,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
310005,15995.494351,0,0,0,11180,11180,11180,0,0,0,0,0,0,0,0,0,0,0,0,4815.4943514,4800,0,4800,15.494351361,15.494351361,0,0,0,2,1
321009,25925.003665,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,0,0,5125.0036646,4800,0,4800,325.00366462,9.2966108166,46.617328155,269.08972565,0,5,3
333081,48009.89882,0,0,0,39910,39910,39910,0,0,0,0,0,0,0,0,0,0,0,0,8099.8988195,7200,0,7200,899.89881951,85.528819513,0,814.37,0,8,4
365034,17407.747176,0,0,0,14400,14400,14400,0,0,0,0,0,0,0,0,0,0,0,0,3007.7471757,3000,0,3000,7.7471756805,7.7471756805,0,0,0,3,2
387029,40489.649435,0,0,0,32500,32500,32500,0,0,0,0,0,0,0,0,0,0,0,0,7989.6494351,7200,0,7200,789.64943514,1.5494351361,0,788.1,0,7,4
389084,15601.549435,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,1.5494351361,0,0,0,1.5494351361,1.5494351361,0,0,0,2,1
500001,27706.758764,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,10806.758764,10600,2400,8200,206.75876363,158.69664462,48.062119007,0,0,5,3
500090,27628.510624,0,0,0,16380,16380,16380,0,0,0,0,0,0,0,0,0,0,0,0,11248.510624,10800,0,10800,448.51062368,4.6483054083,254.82954398,189.03277429,0,5,3
500176,24139.832903,0,0,0,23400,21000,21000,0,2400,0,0,0,0,0,0,0,2400,0,0,739.83290322,900,0,900,-160.1670968,1.3232712635,0,0,161.49036804,5,3
500669,44453.309508,14000,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,5453.3095082,5400,0,5400,53.309508226,53.309508226,0,0,0,8,4
500674,28168.470692,0,0,0,23658,23658,23508,150,0,0,0,0,0,0,0,0,0,0,0,4510.4706923,4300,0,4300,210.47069232,210.47069232,0,0,0,6,3
500726,49698.899862,42000,42000,0,2700,0,0,0,2700,2700,2700,0,0,0,0,0,0,0,0,4998.8998621,4800,0,4800,198.89986206,29.452379949,0,169.44748211,0,8,4
501068,20548.805435,0,0,0,16250,16250,16250,0,0,0,0,0,0,0,0,0,0,0,0,4298.8054352,4800,0,4800,-501.1945648,1.2199136001,0,0,502.41447836,4,2
501082,25823.540958,0,0,0,18850,18850,18850,0,0,0,0,0,0,0,0,0,0,0,0,6973.5409584,6900,0,6900,73.540958402,73.540958402,0,0,0,5,3
501694,27344.516925,0,0,0,27300,27300,27300,0,0,0,0,0,0,0,0,0,0,0,0,44.516925016,0,0,0,44.516925016,44.516925016,0,0,0,5,3
