NQUEST,CTIT,NCTIT,ICTIT,UNABAN,BANCHE,QUOTAINTP,SCOPER,UTSCOPER,MESISCOPER,VMSCOPER,FSCOPER,FSCOPER1,CARTA,CARTE,USOCART,CARTDEB,CARTDEB1,BANCOMAT,NBANCOMA,CARTAPRE,NCARTAPRE,SPESECON,COLDIS,TRADING,ECREDIT,INTERNET,EBUY,PRELN,PRELQUALIT,PRELMOTIV1,PRELMOTIV2,PRELMOTIV3,DEPOSIT,NDEPOSIT
35682,2,,,1,1,,2,,,,,,1,1,2,,,1,1,2,,100,1,3,3,1,2,1,8,,,,1,1
35788,2,,,1,1,,2,,,,,,1,1,2,,,1,2,1,1,1800,1,3,3,1,2,3,8,,,,1,3
36130,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,2500,2,,,1,3,2,8,,,,1,1
36186,2,,,1,1,,2,,,,,,2,,,,,1,2,1,1,600,2,,,1,2,4,8,,,,1,2
36250,2,,,1,1,,1,2,,,,,1,1,2,,,1,1,2,,300,2,,,1,2,2,7,,,,1,1
36321,2,,,1,1,,1,2,,,,,1,1,2,,,1,1,2,,1500,1,3,3,1,3,5,9,,,,1,1
36333,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,400,2,,,2,,4,8,,,,1,1
36403,,,,,,,,,,,,,2,,,,,2,,1,1,150,2,,,2,,1,8,,,,2,0
36409,2,,,1,1,,1,2,,,,,1,1,2,,,1,1,2,,300,1,3,3,1,2,1,2,1,2,2,1,1
36443,2,,,1,1,,1,2,,,,,1,2,2,,,1,1,1,1,600,1,3,3,1,3,4,7,,,,1,2
36697,2,,,1,1,,2,,,,,,1,1,2,,,1,1,1,1,500,1,3,3,1,3,5,8,,,,1,1
36893,2,,,1,1,,2,,,,,,2,,,,,1,1,1,1,1500,2,,,1,2,4,7,,,,1,1
37299,2,,,1,1,,2,,,,,,2,,,,,2,,2,,1200,2,,,1,3,5,6,,,,1,1
37521,2,,,2,2,25,2,,,,,,2,,,,,1,1,2,,800,1,3,3,1,3,2,10,,,,1,2
37810,,,,1,1,,,,,,,,2,,,,,2,,2,,400,2,,,2,,1,10,,,,1,1
38014,2,,,2,2,20,2,,,,,,2,,,,,1,1,1,1,1200,2,,,1,1,3,8,,,,1,2
38095,2,,,1,1,,2,,,,,,2,,,,,2,,2,,1000,2,,,2,,3,6,,,,1,1
38106,2,,,2,2,90,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,3,7,,,,1,2
38316,1,1,2,2,2,60,2,,,,,,1,3,2,,,1,4,1,1,500,1,3,3,1,3,5,9,,,,1,2
38877,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,200,2,,,2,,5,9,,,,1,1
38885,2,,,2,3,50,1,2,,,,,2,,,,,1,2,2,,500,2,,,2,,3,7,,,,1,3
38939,1,2,2,1,1,,2,,,,,,1,1,2,,,1,2,2,,1000,1,3,3,1,3,1,8,,,,1,2
38940,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,1000,2,,,2,,2,10,,,,1,1
39056,2,,,2,2,60,2,,,,,,1,2,2,,,1,2,2,,600,1,3,3,1,3,6,8,,,,1,2
39086,2,,,2,2,90,2,,,,,,1,1,2,,,2,,2,,500,1,3,3,1,3,2,10,,,,1,3
39095,1,1,1,2,2,80,1,2,,,,,1,1,1,,,1,1,1,1,250,1,3,3,1,2,1,1,1,2,2,1,2
39218,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,350,2,,,2,,2,7,,,,1,1
