NQUEST,ASS2NEW1,ASS2NEW2,ASS2NEW3,ASS2NEW4,ASS2NEW5,ASS2NEW6,ASS1NEW1,ASS1NEW2,ASS1NEW3,ASS1NEW4,ASS1NEW5,ASS1NEW6,ASS4,ASS4S,ASS31,ASS3S1,ASS32,ASS3S2,ASS33,ASS3S3,DOCSEZF
683349,1,1,2,2,2,,1,1,2,2,2,2,1,0,1,1000,1,600,2,,1
683373,2,2,2,2,,,2,2,2,2,,,2,,1,500,2,,2,,2
683377,2,2,2,2,2,,2,2,2,2,2,2,2,,1,800,2,,2,,1
683399,,,,,,,2,,,,,,1,10000,1,500,1,200,2,,1
683472,2,2,2,2,,,2,2,2,2,,,1,528,1,1300,1,470,2,,2
683645,,,,,,,2,2,,,,,2,,2,,2,,2,,2
683650,,,,,,,2,2,,,,,2,,2,,2,,2,,2
683661,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
683669,2,2,2,2,,,2,2,2,2,,,2,,2,,2,,2,,2
683675,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
683727,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,1
683737,2,,,,,,2,,,,,,2,,2,,2,,2,,2
683767,,,,,,,2,2,,,,,2,,1,400,2,,2,,2
683782,2,2,,,,,2,2,,,,,2,,1,300,2,,2,,2
683785,,,,,,,2,,,,,,2,,2,,1,120,2,,2
683896,,,,,,,1,1,,,,,2,,1,480,2,,2,,1
683991,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
684000,2,2,2,2,,,2,2,2,2,,,2,,2,,2,,2,,2
684037,,,,,,,2,2,,,,,2,,1,300,1,1200,2,,2
684063,,2,,,,,2,2,,,,,2,,1,700,2,,2,,2
684259,2,2,2,,,,2,2,2,2,,,2,,2,,2,,2,,2
684279,2,2,,,,,2,2,,,,,2,,2,,1,360,2,,2
684328,2,,,,,,2,,,,,,2,,1,1000,2,,2,,2
684359,,,,,,,2,2,,,,,2,,1,850,1,180,2,,2
684434,,,,,,,2,2,,,,,1,400,1,800,1,130,2,,2
684454,,,,,,,2,2,,,,,2,,1,460,2,,2,,2
684524,,,,,,,2,,,,,,2,,2,,2,,2,,2
684525,,,,,,,2,2,,,,,1,1200,2,,2,,2,,2
