NQUEST,RCDOM,RCDOMAN,RCACC,RCPATTOA,RCPATTOB,RCMES19,RCAMM19,RCMES20,RCAMM20,RCANNI,RCANNI1,MISCOVID3,MISCOVIDV3,MISCOVID4,MISCOVIDV4,MISCOVID5,MISCOVIDV5,VARRED,VARREDA,VARREDB,VARREDCOME1,VARREDCOME2,VARREDCOME3,VARREDCOME4,VARREDCOME5,VARREDCOME6,VARREDFINE,VARREDFINEA,VARREDFINEB,ASPRED,IMPCOVID1,IMPCOVID2,IMPCOVID3,IMPCOVID4,DOCSEZB
57138,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
57621,2,,,,,,,,,4,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
57670,2,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
57779,2,,,,,,,,,3,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
57962,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
60078,1,2,1,1,1,,,8,650,2,,2,,,,2,,2,,,,,,,,,2,,,2,1,2,2,2,2
91071,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
91079,2,,,,,,,,,2,,2,,2,,1,500,2,,,,,,,,,2,,,1,2,2,2,2,2
91081,2,,,,,,,,,3,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,1,2,2
91095,3,,,,,,,,,,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
111052,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
145007,2,,,,,,,,,3,,2,,2,,2,,3,,5000,2,2,2,2,2,2,2,,,1,2,2,1,2,2
178001,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
213440,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,1,1,2,2
224048,1,2,2,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
230029,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
230037,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
237003,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
244013,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
244058,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,3,2,2,2,2,2
250005,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,3,,2000,2,2,2,2,2,2
250010,1,3,1,1,2,10,600,12,600,5,,2,,,,2,,3,,1000,2,2,2,2,2,2,3,,2000,3,2,2,2,2,2
250039,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,3,,1200,2,2,2,2,2,2
282083,2,,,,,,,,,3,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
282089,2,,,,,,,,,3,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
284086,2,,,,,,,,,,1,2,,,,2,,3,,500,2,2,2,2,2,2,5,,,5,2,2,2,2,2
310002,2,,,,,,,,,,1,2,,,,2,,3,,200,2,2,2,2,2,2,2,,,1,2,2,2,2,2
310005,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,3,2,2,2,2,2
321009,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
333081,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
365034,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
387029,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
389084,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
500001,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
500090,2,,,,,,,,,,1,2,,,,2,,4,,,,,,,,,4,,,1,2,2,2,2,2
500176,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,1,1,2,2
500669,2,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
500674,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,1
500726,2,,,,,,,,,2,,2,,2,,2,,3,,4000,2,2,2,2,2,2,3,,2000,1,2,2,1,2,1
501068,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
501082,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
501694,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
502060,2,,,,,,,,,1,,2,,2,,2,,3,,26000,1,2,2,1,1,1,2,,,1,1,2,2,2,2
502355,2,,,,,,,,,1,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
502364,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
503560,2,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
503561,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
503593,2,,,,,,,,,10,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
503674,2,,,,,,,,,0,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,1
503788,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
503931,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
504157,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
504363,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
504395,2,,,,,,,,,1,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
504453,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
504584,2,,,,,,,,,0,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
504730,2,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,,2,,,4,2,2,2,2,2
504792,2,,,,,,,,,5,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
504889,2,,,,,,,,,3,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
504921,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
504937,2,,,,,,,,,0,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
505022,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
505167,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,4,2,2,2,2,2
505228,3,,,,,,,,,,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
505390,2,,,,,,,,,5,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
505517,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
505525,2,,,,,,,,,3,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,1,2,2
505534,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
505594,2,,,,,,,,,10,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
505606,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
505681,3,,,,,,,,,,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
505771,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
505806,3,,,,,,,,,,,2,,,,2,,3,,6000,2,2,2,1,2,1,3,,1000,1,2,2,2,2,2
505818,2,,,,,,,,,3,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
505839,2,,,,,,,,,2,,2,,2,,2,,3,,5000,2,2,2,2,2,1,2,,,1,2,2,1,2,2
506100,3,,,,,,,,,,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
506107,2,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
506112,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
506402,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
506418,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
506565,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
506628,2,,,,,,,,,5,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
506736,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
506738,2,,,,,,,,,1,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
506758,2,,,,,,,,,0,,2,,2,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
506767,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,4,2,2,2,2,2
506799,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
507182,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
507282,2,,,,,,,,,15,,2,,2,,2,,3,,4000,2,2,2,2,2,1,4,,,1,2,2,1,2,2
507303,2,,,,,,,,,0,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
507316,2,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
507319,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
507336,2,,,,,,,,,0,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
507419,2,,,,,,,,,0,,2,,2,,2,,2,,,,,,,,,3,,4000,2,2,2,2,2,2
507444,2,,,,,,,,,1,,2,,2,,2,,2,,,,,,,,,3,,3000,1,2,2,1,2,2
507640,2,,,,,,,,,1,,2,,,,2,,3,,3600,2,2,2,2,2,2,3,,3600,1,2,2,2,2,2
507644,2,,,,,,,,,0,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
507728,2,,,,,,,,,5,,2,,,,2,,2,,,,,,,,,2,,,3,2,2,2,2,2
507863,2,,,,,,,,,3,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
507905,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
507908,2,,,,,,,,,0,,2,,,,2,,2,,,,,,,,,4,,,4,2,2,2,2,2
507913,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,4,2,2,2,2,2
