NQUEST,NORDEB1,DEBM1,DETRAZIONI1,DEBRF1,ANMUTUO1,MUTUODU1,MUTUOFIN1,MUTUOIN1,DEBGAR1,DEBPERS1,LTV1,TIPOTAX1,RATACON1,TAXFIS1,TAXVAR1,SOSPENS1,SOSPEORA1,RIPPAG1,RIPPAGQUA1,TMUTUOAB1,TDEBITA1,RIFINANZ1
957661,1,1,,2,2006,20,1,90000,1,,70,1,,2,,2,,,,11000,17000,1
957674,1,1,,2,2013,27,20,296000,1,,80,1,,1.05,,2,,,,13000,222000,1
957677,1,1,,2,2019,25,23,170000,1,,90,1,,2,,2,,,,7200,152800,1
957684,1,1,,2,2018,20,17,160000,1,,70,1,,2,,2,,,,9600,131200,2
957687,1,1,,1,2010,30,19,195000,1,,100,2,1,,2,2,,,,6600,125400,1
957692,1,1,,2,2017,30,26,180000,1,,90,1,,1.2,,2,,,,9000,144000,1
957693,1,1,,2,2017,30,27,103000,1,,70,1,,1.6,,2,,,,4632,89104,2
957696,1,1,,2,2011,20,10,65000,1,,85,1,,2,,2,,,,3000,35000,2
957705,1,1,,2,2013,30,22,175000,1,,100,2,1,,1.5,2,,,,2160,47520,2
957705,2,1,,1,2014,8,2,30000,1,,20,1,,1.2,,2,,,,3888,7700,2
957709,1,1,,1,2010,14,4,162000,1,,75,1,,3.45,,2,,,,9600,55000,1
957711,1,1,,2,2018,25,22,155000,1,,80,1,,1.9,,2,,,,7300,135000,2
957713,1,1,,2,2010,30,19,170000,1,,100,2,2,,1.6,2,,,,7800,148200,2
957721,1,1,,2,2007,22,6,180000,1,,35,2,1,,9,2,,,,8000,35000,2
957746,1,1,,2,2006,30,15,140000,2,,100,2,1,,1.8,2,,,,6000,110000,2
957760,1,1,,2,2009,30,19,200000,1,,100,2,1,,3,2,,,,8400,150000,2
957775,1,1,,2,2008,15,3,150000,1,,100,2,1,,2,2,,,,9600,30000,2
957778,1,1,,2,2014,25,19,180000,1,,100,2,1,,3,2,,,,8500,140000,2
957780,1,1,,2,2018,15,13,120000,1,,100,2,1,,3,2,,,,4500,115000,2
957931,1,1,,2,2017,20,16,130000,1,,70,1,,1,,2,,,,8400,110000,2
957938,1,1,,2,2018,25,21,170000,1,,80,1,,2,,2,,,,12000,155000,2
957938,2,2,1,2,2019,5,4,15000,3,1,,1,,4,,2,,,,3000,10000,2
957938,3,2,2,2,2018,5,1,5000,3,1,,1,,6,,2,,,,1600,1500,2
957955,1,1,,2,2016,40,36,220000,1,,80,1,,1.2,,2,,,,6108,213000,2
957983,1,1,,2,2012,30,21,200000,3,1,,2,1,,3,2,,,,7200,130000,2
957988,1,1,,2,2016,30,26,170000,1,,100,1,,6,,2,,,,9600,130000,2
957993,1,1,,2,2003,30,10,200000,1,,100,2,1,,3,2,,,,7200,80000,2
958003,1,1,,2,2012,30,21,180000,1,,80,2,1,,5,2,,,,5400,120000,2
958051,1,1,,2,2011,25,16,145000,1,,100,1,,2,,2,,,,9960,125000,2
958055,1,1,,2,2006,30,15,120000,1,,100,2,1,,3,1,1,,,1600,85000,2
958064,1,1,,2,2019,30,28,195000,1,,76,2,1,,1.4,2,,,,7740,186111,2
959058,1,1,,2,2019,20,19,180000,1,,50,2,1,,2,2,,,,11000,170000,2
959098,1,3,,3,2004,20,13,150000,3,1,,1,,1,,1,2,1,3,10000,40000,2
